,id,fecha,pais_de_residencia,provincia_de_espana,ciudad_residencia,situacion_en_espana,profesion,autonomia_economica,familia_edades,coche_propio,carnet_coche,mascota,presupuesto_alquiler,primera_segunda_vivienda,zona_interes,predisposicion_pueblo
10351,U-011090,2023-01-08,España,Sevilla,Camas,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Mozo almacén,3 meses,32 27,No,Si,No,Hasta 300€,Primera residencia,Indiferente,Aún me lo estoy pensando
10352,U-011091,2023-01-09,España,Santa Cruz de Tenerife,La Laguna,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,,"27,23,1",No,No,No,Hasta 450€,Primera residencia,"Indiferente, menos de 150km de Madrid",Aún me lo estoy pensando
10353,U-011092,2023-01-09,España,Badajoz,Don Benito,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Operario,3 meses,"32,28,8 y 4",Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses
10354,U-011093,2023-01-09,España,Madrid,madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Ingeniero,6 meses,-,No,No,No,Hasta 300€,Primera residencia,"Indiferente, menos de 150km de Madrid",Aún me lo estoy pensando
10355,U-011094,2023-01-09,Resto de Europa (dentro de UE),Ninguna,Izegem,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Sanitario,3 meses,38-34-13-8-6,Si,Si,Si,Hasta 450€,Primera residencia,Pueblos de Burgos,6 meses
10356,U-011095,2023-01-09,Latino América,Ninguna,Caracas,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Dietista/ Nutricionista,,19,No,Si,No,Hasta 300€,Primera residencia,"Indiferente, menos de 150km de Madrid",3 meses
10357,U-011096,2023-01-09,España,Barcelona,barcelona,No estoy en ninguna de esas situaciones,Profesor educación especial,3 meses,42 - 38,No,Si,No,Hasta 300€,Primera residencia,Indiferente,1 mes
10358,U-011097,2023-01-09,España,Murcia,La Unión (Murcia),Tengo nacionalidad española / de un país de la UE / permiso de residencia,Cocinero,3 meses,20,No,No,No,Hasta 300€,Primera residencia,Pueblos de Zamora,6 meses
10359,U-011098,2023-01-10,España,Toledo,MOCEJON,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Enfermero,6 meses,42 - 39 - 10 - 8 - 6 - 2,Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,6 meses
10360,U-011099,2023-01-10,España,Alicante,San Vicente del Raspeig,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Biólogo ambiental,,44,Si,Si,Si,Hasta 300€,Primera residencia,Pueblos de Segovia,1 mes
10361,U-011100,2023-01-10,Latino América,Ninguna,Puerto San Julián,No estoy en ninguna de esas situaciones,Hostelero,1 año,37,No,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses
10362,U-011101,2023-01-10,España,Toledo,Cabañas de la Sagra,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Conductor,,27 y 24 años,Si,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses
10363,U-011102,2023-01-10,Latino América,Ninguna,Argentina,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,,"31, 31 y 3",No,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses
10364,U-011103,2023-01-10,Otro,Ninguna,Sancti Spíritus,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Ingeniero,6 meses,"53, 32, 28, 3",No,No,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,3 meses
10365,U-011104,2023-01-11,España,Alicante,Alcoy,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Fotógrafo,,41,No,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses
10366,U-011105,2023-01-11,España,Madrid,Torrejón de Ardoz Madrid,No estoy en ninguna de esas situaciones,Panadero,1 año,"46 padre, 44 madre, 15 hija, 10 hijo",No,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses
10367,U-011106,2023-01-11,España,Madrid,Torrejón de Ardoz,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Artes visuales,Más de 1 año,39,Si,Si,Si,Hasta 450€,Primera residencia,Sierra norte de Madrid,Aún me lo estoy pensando
10368,U-011107,2023-01-11,España,Madrid,MADRID,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Cocinero,6 meses,MOHAMMED (50)/ FÁTIMA (41) /ALI (14)/ AHMED (10)/ AYA (4),No,No,No,Hasta 450€,Primera residencia,Indiferente,1 mes
10369,U-011108,2023-01-11,España,Valencia,paterna,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,3 meses,"49, 13 y 10",Si,Si,Si,Hasta 300€,Primera residencia,"Indiferente, menos de 150km de Madrid",6 meses
10370,U-011109,2023-01-11,Otro,Ninguna,Madrid,No estoy en ninguna de esas situaciones,Médico,3 meses,28 y 26 años,No,No,Si,Hasta 300€,Primera residencia,"Indiferente, menos de 150km de Madrid",1 mes
10371,U-011110,2023-01-11,España,Palencia,Cevico Navero,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Técnico,,34-22,Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,3 meses
10372,U-011111,2023-01-11,España,Ourense,OURENSE,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Psicólogo,3 meses,"24, 50 Y 13",Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,1 mes
10373,U-011112,2023-01-11,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Enfermero,,34 y 29,Si,Si,Si,Hasta 600€,Primera residencia,"Indiferente, menos de 150km de Madrid",6 meses
10374,U-011113,2023-01-12,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Encargado,6 meses,35 y 27,Si,Si,Si,Hasta 600€,Primera residencia,Indiferente,3 meses
10375,U-011114,2023-01-12,España,Guadalajara,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Limpieza,Más de 1 año,31,No,No,No,Hasta 300€,Primera residencia,"Indiferente, menos de 150km de Madrid",1 mes
10376,U-011115,2023-01-12,España,Málaga,Málaga,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Camarero,3 meses,23 y 26,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses
10377,U-011116,2023-01-12,España,Las Palmas,Las Palmas de Gran Canaria,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Sanitario,,31. 32. Y 8 años,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,3 meses
10378,U-011117,2023-01-12,Latino América,Ninguna,Tegucigalpa,No estoy en ninguna de esas situaciones,Atención al cliente,3 meses,"6, 7 y 34",No,No,Si,Hasta 300€,Primera residencia,Indiferente,3 meses
10379,U-011118,2023-01-12,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Camarero,,"17,26,40",Si,Si,Si,Hasta 600€,Primera residencia,Sierra norte de Madrid,1 mes
10380,U-011119,2023-01-13,España,Madrid,Entre Alcalá de Henares (Madrid) y Sotos de Sepúlveda (Segovia),Tengo nacionalidad española / de un país de la UE / permiso de residencia,Consultor,6 meses,44  /  14,Si,Si,No,Hasta 600€,Primera residencia,Pueblos de Burgos,6 meses
10381,U-011120,2023-01-13,España,Lérida,Artesa de Lleida,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Pastor,,"33, 32, 5, 4, 2, 1",No,Si,No,Hasta 600€,Primera residencia,Indiferente,1 mes
10382,U-011121,2023-01-13,España,Santa Cruz de Tenerife,Tenerife,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Comercio internacional,1 año,"66,38,36,9,3",Si,Si,No,Hasta 300€,Primera residencia,Indiferente,3 meses
10383,U-011122,2023-01-13,España,Gipuzkoa,Villabona,No estoy en ninguna de esas situaciones,Jubilado,,61,Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Zamora,6 meses
10384,U-011123,2023-01-14,España,Alicante,Alicante,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Autónomo,Más de 1 año,"29,8,36",Si,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,1 mes
10385,U-011124,2023-01-14,España,Las Palmas,puerto del rosario,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Veterinario,3 meses,28 y 36,Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,Aún me lo estoy pensando
10386,U-011125,2023-01-14,Latino América,Ninguna,Sevilla la Nueva,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Ingeniero,Más de 1 año,"4, 67, 69 y 39",Si,No,No,Más de 600€,Primera residencia,Indiferente,3 meses
10387,U-011126,2023-01-14,España,Valencia,Valencia,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Auxiliar,3 meses,24 y 26,No,No,Si,Hasta 300€,Primera residencia,Pueblos de Segovia,6 meses
