,id,fecha,pais_de_residencia,provincia_de_espana,ciudad_residencia,situacion_en_espana,profesion,autonomia_economica,familia_edades,coche_propio,carnet_coche,mascota,presupuesto_alquiler,primera_segunda_vivienda,zona_interes,predisposicion_pueblo,numero_familiares,sector_servicios,sector_industria,sector_construccion,sector_agricultura_ganaderia_pesca,Otros,nan_filas
3325,U-003636,2020-09-15,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Atención al cliente,3 meses,"57,47",Si,Si,No,Hasta 300€,Primera residencia,Indiferente,3 meses,2,0,0,0,0,0,0
3326,U-003637,2020-09-15,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Desempleado,6 meses,"60,77",Si,Si,No,Más de 600€,Primera residencia,Sierra norte de Madrid,Aún me lo estoy pensando,2,0,0,0,0,1,0
3327,U-003638,2020-09-15,España,Extremadura,Puebla del Maestre,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Desempleado,3 meses,"38,13,13",Si,Si,No,Hasta 300€,Primera residencia,Indiferente,3 meses,3,0,0,0,0,1,0
3328,U-003639,2020-09-15,España,Andalucía,Almería,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Desempleado,3 meses,"31,20",Si,No,No,Hasta 300€,Primera residencia,Indiferente,Aún me lo estoy pensando,2,0,0,0,0,1,0
3329,U-003640,2020-09-15,España,Aragón,Zaragoza,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Albañil,6 meses,50,Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Zaragoza-Huesca,3 meses,1,0,0,1,0,0,0
3330,U-003641,2020-09-15,España,Gipuzkoa,Eibar,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,3 meses,"57,44,18",Si,Si,No,Hasta 300€,Primera residencia,Indiferente,3 meses,3,0,0,0,0,0,0
3331,U-003642,2020-09-15,España,Andalucía,Jaén,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Estudiante,3 meses,22,Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Galicia,3 meses,1,0,0,0,0,1,0
3332,U-003643,2020-09-15,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Empresario,3 meses,35,Si,Si,No,Hasta 600€,Primera residencia,Sierra norte de Madrid,Aún me lo estoy pensando,1,1,0,0,0,0,0
3333,U-003644,2020-09-15,España,Tarragona,Cambrils,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,3 meses,"35,29,2",No,Si,No,Hasta 300€,Segunda residencia,Indiferente,3 meses,3,0,0,0,0,0,0
3334,U-003645,2020-09-16,Latino América,Ninguna,Buenos Aires,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Informático,Más de 1 año,32,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,3 meses,1,1,0,0,0,0,0
3335,U-003646,2020-09-16,España,Madrid,madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Documentalista,3 meses,"28,56",No,Si,No,Hasta 300€,Segunda residencia,Pueblos de Burgos,3 meses,2,1,0,0,0,0,0
3336,U-003647,2020-09-16,España,Barcelona,Barcelona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Cuidar ancianos,3 meses,56,Si,Si,No,Hasta 300€,Segunda residencia,Pueblos de Zaragoza-Huesca,Aún me lo estoy pensando,1,0,0,0,0,0,0
