,autonomia_economica,coche_propio,carnet_coche,mascota,presupuesto_alquiler,numero_familiares,sector_servicios,sector_industria,sector_construccion,sector_agricultura_ganaderia_pesca,sector_otros,predisposicion_pueblo_1 mes,predisposicion_pueblo_3 meses,predisposicion_pueblo_6 meses,predisposicion_pueblo_Aún me lo estoy pensando,year,month,day,pais_de_residencia_España,pais_de_residencia_Latino América,pais_de_residencia_Otro,pais_de_residencia_Resto de Europa (dentro de UE),prov_norte,prov_sur,prov_este,prov_centro,prov_madrid,prov_fuera_espana,situacion_en_espana_No estoy en ninguna de esas situaciones,situacion_en_espana_Tengo nacionalidad española / de un país de la UE / permiso de residencia,primera_segunda_vivienda_Primera residencia,primera_segunda_vivienda_Segunda residencia,zona_interes_Indiferente,"zona_interes_Indiferente, menos de 150km de Madrid",zona_interes_Navarra,zona_interes_Pueblos de Burgos,zona_interes_Pueblos de Cuenca,zona_interes_Pueblos de Galicia,zona_interes_Pueblos de Jaén,zona_interes_Pueblos de Palencia,zona_interes_Pueblos de Segovia,zona_interes_Pueblos de Soria,zona_interes_Pueblos de Zamora,zona_interes_Pueblos de Zaragoza,zona_interes_Pueblos de Zaragoza-Huesca,zona_interes_Sierra norte de Madrid
0,3,1,1,0,1,2,0,0,0,0,0,0,1,0,0,2020,10,26,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,6,1,1,1,2,2,1,0,0,0,0,0,0,1,0,2020,11,11,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,12,0,1,0,2,3,1,0,0,0,0,0,0,1,0,2020,11,17,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,14,1,1,1,1,8,0,0,0,0,0,0,0,1,0,2020,11,19,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,12,1,1,1,1,2,1,0,0,0,0,0,0,1,0,2020,11,20,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6,1,1,0,2,4,0,0,0,0,0,0,1,0,0,2020,11,20,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,1,1,1,2,1,1,0,0,0,0,0,0,0,1,2020,11,20,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,6,1,1,1,2,2,1,0,0,0,0,0,0,1,0,2020,11,21,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,12,1,1,0,1,2,0,0,1,0,0,1,0,0,0,2020,11,21,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3,1,1,1,1,2,1,0,0,0,0,0,0,1,0,2020,11,21,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,1,1,1,1,2,0,0,0,0,0,0,0,1,0,2020,11,21,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,12,1,1,1,3,2,1,0,0,0,0,0,0,1,0,2020,11,23,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,6,1,1,1,2,2,0,0,0,0,0,0,0,1,0,2020,11,23,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,14,1,1,1,1,2,0,0,0,0,0,0,0,0,1,2020,11,23,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,14,1,1,0,3,1,0,0,0,0,0,0,0,1,0,2020,11,23,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,3,1,1,0,1,1,0,0,0,0,0,0,1,0,0,2020,11,26,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,3,0,0,1,2,2,1,0,0,0,0,1,0,0,0,2020,11,27,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2020,11,27,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,14,0,1,0,1,1,0,0,0,0,0,0,0,1,0,2020,11,28,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,3,1,1,0,1,1,1,0,0,0,0,0,1,0,0,2020,11,28,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,6,0,1,0,1,2,0,0,0,1,0,1,0,0,0,2020,11,28,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,3,0,0,1,1,1,1,0,0,0,0,0,0,1,0,2020,11,28,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,6,1,1,1,1,1,0,0,0,0,0,0,0,1,0,2020,11,29,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,3,1,1,0,2,1,1,0,0,0,0,0,0,1,0,2020,11,29,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,6,1,1,0,2,2,0,1,0,0,0,1,0,0,0,2020,11,29,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,14,1,1,1,2,6,0,0,0,0,0,0,1,0,0,2020,11,29,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,6,0,1,0,2,2,1,0,0,0,0,1,0,0,0,2020,11,29,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,12,1,0,0,3,5,0,0,1,0,0,1,0,0,0,2020,11,30,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,3,1,1,0,1,2,1,0,0,0,0,0,0,1,0,2020,11,30,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3,1,1,0,2,4,1,0,0,0,0,0,0,1,0,2020,11,30,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,14,0,0,0,2,2,0,0,0,0,0,1,0,0,0,2020,11,30,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,12,0,0,0,1,1,1,0,0,0,0,0,0,1,0,2020,11,30,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,3,1,1,0,1,7,0,1,0,0,0,1,0,0,0,2020,12,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,3,0,0,1,1,2,0,0,0,0,0,0,0,1,0,2020,12,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,3,0,0,0,2,2,0,1,0,0,0,1,0,0,0,2020,12,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,3,0,0,0,2,5,0,0,0,0,0,0,1,0,0,2020,12,2,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
54,6,0,1,0,1,5,1,0,0,0,0,1,0,0,0,2020,12,2,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,3,0,1,0,1,2,0,0,0,0,1,0,0,1,0,2020,12,3,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58,6,1,1,0,1,3,0,0,0,0,0,1,0,0,0,2020,12,4,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,3,0,0,0,1,1,1,0,0,0,0,0,0,1,0,2020,12,5,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
61,3,1,1,1,2,5,1,0,0,0,0,0,0,1,0,2020,12,5,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,12,1,1,0,1,2,1,0,0,0,0,0,0,1,0,2020,12,5,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63,14,1,1,1,1,1,0,0,0,0,1,1,0,0,0,2020,12,6,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,3,0,1,0,1,2,1,0,0,0,0,0,0,1,0,2020,12,6,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
65,3,1,1,1,1,1,0,0,0,0,0,0,0,1,0,2020,12,6,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,3,1,1,1,3,1,1,0,0,0,0,0,0,1,0,2020,12,6,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,6,0,0,1,1,2,1,0,0,0,0,0,0,1,0,2020,12,6,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
