,id,fecha,pais_de_residencia,provincia_de_espana,situacion_en_espana,profesion,autonomia_economica,coche_propio,carnet_coche,mascota,presupuesto_alquiler,primera_segunda_vivienda,zona_interes,predisposicion_pueblo,numero_familiares,sector_servicios,sector_industria,sector_construccion,sector_agricultura_ganaderia_pesca,sector_otros,prov_norte,prov_sur,prov_este,prov_centro,prov_madrid,prov_fuera_espana
1,U-000002,2020-10-26,España,Andalucía,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Comercio internacional,3 meses,Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Zaragoza,3 meses,2,0,0,0,0,0,0,1,0,0,0,0
2,U-000003,2020-10-26,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Dependiente,3 meses,Si,Si,Si,Hasta 450€,Segunda residencia,Sierra norte de Madrid,Aún me lo estoy pensando,2,1,0,0,0,0,0,0,0,0,1,0
3,U-000006,2020-11-08,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Sanitario,3 meses,Si,Si,Si,Hasta 450€,Primera residencia,Sierra norte de Madrid,3 meses,3,0,0,0,0,0,0,0,0,0,1,0
4,U-000007,2020-11-11,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Fotógrafo,6 meses,Si,Si,Si,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses,2,1,0,0,0,0,0,0,0,0,1,0
5,U-000008,2020-11-16,España,Valencia,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Profesor educación especial,3 meses,Si,Si,Si,Hasta 300€,Segunda residencia,Indiferente,Aún me lo estoy pensando,2,1,0,0,0,0,0,0,1,0,0,0
6,U-000009,2020-11-17,Latino América,Ninguna,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Técnico de empresas y actividades turísticas,1 año,No,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses,3,1,0,0,0,0,0,0,0,0,0,1
7,U-000011,2020-11-19,España,Madrid,No estoy en ninguna de esas situaciones,Otro,Más de 1 año,Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses,8,0,0,0,0,0,0,0,0,0,1,0
8,U-000014,2020-11-19,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Sanitario,3 meses,Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses,3,0,0,0,0,0,0,0,0,0,1,0
9,U-000016,2020-11-20,España,Baleares,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Cocinero,1 año,Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,6 meses,2,1,0,0,0,0,0,0,1,0,0,0
10,U-000017,2020-11-20,Otro,Ninguna,No estoy en ninguna de esas situaciones,Administrativo,6 meses,Si,Si,No,Hasta 450€,Primera residencia,Indiferente,3 meses,4,0,0,0,0,0,0,0,0,0,0,1
11,U-000018,2020-11-20,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Empresario,3 meses,Si,Si,Si,Hasta 450€,Primera residencia,Pueblos de Zaragoza,Aún me lo estoy pensando,1,1,0,0,0,0,0,0,0,0,1,0
12,U-000020,2020-11-21,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Gestor cultural,6 meses,Si,Si,Si,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses,2,1,0,0,0,0,0,0,0,0,1,0
13,U-000021,2020-11-21,Otro,Ninguna,No estoy en ninguna de esas situaciones,Albañil,1 año,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,1 mes,2,0,0,1,0,0,0,0,0,0,0,1
14,U-000022,2020-11-21,España,Navarra,No estoy en ninguna de esas situaciones,Camarero,3 meses,Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,6 meses,2,1,0,0,0,0,1,0,0,0,0,0
15,U-000023,2020-11-21,España,Comunitat Valenciana,No estoy en ninguna de esas situaciones,Mozo almacén,Más de 1 año,Si,Si,Si,Hasta 300€,Primera residencia,Pueblos de Burgos,6 meses,2,0,0,0,0,0,0,0,1,0,0,0
16,U-000024,2020-11-22,España,Pontevedra,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Camarero,3 meses,Si,Si,Si,Hasta 300€,Primera residencia,Pueblos de Zaragoza,6 meses,2,1,0,0,0,0,1,0,0,0,0,0
17,U-000026,2020-11-23,España,Barcelona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Diseñador grafico,1 año,Si,Si,Si,Hasta 600€,Primera residencia,Pueblos de Zaragoza,6 meses,2,1,0,0,0,0,0,0,1,0,0,0
18,U-000027,2020-11-23,España,Toledo,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,3 meses,Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,Aún me lo estoy pensando,4,0,0,0,0,0,0,0,0,1,0,0
19,U-000028,2020-11-23,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,6 meses,Si,Si,Si,Hasta 450€,Primera residencia,Indiferente,6 meses,2,0,0,0,0,0,0,0,0,0,1,0
20,U-000029,2020-11-23,Latino América,Ninguna,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Atención al cliente,Más de 1 año,Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,Aún me lo estoy pensando,2,0,0,0,0,0,0,0,0,0,0,1
21,U-000030,2020-11-23,España,Barcelona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Autónomo,Más de 1 año,Si,Si,No,Hasta 600€,Primera residencia,Sierra norte de Madrid,6 meses,1,0,0,0,0,0,0,0,1,0,0,0
22,U-000032,2020-11-24,España,Comunitat Valenciana,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Graduado social,3 meses,No,No,No,Hasta 450€,Primera residencia,Indiferente,6 meses,2,1,0,0,0,0,0,0,1,0,0,0
23,U-000036,2020-11-25,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Abogado,3 meses,Si,Si,No,Hasta 450€,Primera residencia,Indiferente,6 meses,6,1,0,0,0,0,0,0,0,0,1,0
24,U-000040,2020-11-26,España,Alicante,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Autónomo,3 meses,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,3 meses,1,0,0,0,0,0,0,0,1,0,0,0
25,U-000041,2020-11-26,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,3 meses,Si,Si,Si,Hasta 450€,Primera residencia,Sierra norte de Madrid,3 meses,2,0,0,0,0,0,0,0,0,0,1,0
26,U-000044,2020-11-27,España,Canarias,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Pensionista,3 meses,No,Si,Si,Hasta 300€,Primera residencia,Indiferente,6 meses,3,0,0,0,0,1,0,1,0,0,0,0
27,U-000045,2020-11-27,España,Andalucía,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Hostelero,3 meses,No,No,Si,Hasta 450€,Primera residencia,Indiferente,1 mes,2,1,0,0,0,0,0,1,0,0,0,0
28,U-000047,2020-11-27,España,Barcelona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Artes visuales,3 meses,No,No,No,Hasta 300€,Primera residencia,Pueblos de Zaragoza,6 meses,1,0,0,0,0,0,0,0,1,0,0,0
29,U-000048,2020-11-28,España,Aragón,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Mozo almacén,Más de 1 año,No,Si,No,Hasta 300€,Primera residencia,Pueblos de Zaragoza,6 meses,1,0,0,0,0,0,0,0,0,1,0,0
30,U-000049,2020-11-28,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Conductor,3 meses,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,3 meses,1,1,0,0,0,0,0,0,0,0,1,0
31,U-000050,2020-11-28,España,Barcelona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Ganadero,6 meses,No,Si,No,Hasta 300€,Primera residencia,Pueblos de Burgos,1 mes,2,0,0,0,1,0,0,0,1,0,0,0
32,U-000051,2020-11-28,Latino América,Ninguna,No estoy en ninguna de esas situaciones,Freelance digital,3 meses,No,No,Si,Hasta 300€,Primera residencia,Indiferente,6 meses,1,1,0,0,0,0,0,0,0,0,0,1
33,U-000052,2020-11-28,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Funcionario,3 meses,Si,Si,No,Hasta 450€,Segunda residencia,Indiferente,6 meses,2,0,0,0,0,1,0,0,0,0,1,0
34,U-000053,2020-11-28,España,Extremadura,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Maestro de Educación Primaria,3 meses,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,Aún me lo estoy pensando,1,1,0,0,0,0,0,0,0,1,0,0
35,U-000054,2020-11-29,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,6 meses,Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses,1,0,0,0,0,0,0,0,0,0,1,0
36,U-000055,2020-11-29,España,Euskadi,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Maestro de Educación Primaria,3 meses,Si,Si,No,Hasta 450€,Primera residencia,Pueblos de Burgos,6 meses,1,1,0,0,0,0,1,0,0,0,0,0
37,U-000056,2020-11-29,España,Madrid,No estoy en ninguna de esas situaciones,Ingeniero,6 meses,Si,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,1 mes,2,0,1,0,0,0,0,0,0,0,1,0
38,U-000057,2020-11-29,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,Más de 1 año,Si,Si,Si,Hasta 450€,Primera residencia,Indiferente,3 meses,6,0,0,0,0,0,0,0,0,0,1,0
39,U-000058,2020-11-29,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Gestor cultural,6 meses,No,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,1 mes,2,1,0,0,0,0,0,0,0,0,1,0
40,U-000059,2020-11-30,España,Madrid,No estoy en ninguna de esas situaciones,Electricista,1 año,Si,No,No,Hasta 600€,Primera residencia,Sierra norte de Madrid,1 mes,5,0,0,1,0,0,0,0,0,0,1,0
41,U-000060,2020-11-30,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Conductor,3 meses,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses,2,1,0,0,0,0,0,0,0,0,1,0
42,U-000061,2020-11-30,España,Madrid,No estoy en ninguna de esas situaciones,Esteticista,3 meses,No,No,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,1 mes,3,1,0,0,0,0,0,0,0,0,1,0
43,U-000062,2020-11-30,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Conductor,3 meses,Si,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses,4,1,0,0,0,0,0,0,0,0,1,0
44,U-000065,2020-11-30,España,Madrid,No estoy en ninguna de esas situaciones,Administrativo,Más de 1 año,No,No,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,1 mes,2,0,0,0,0,0,0,0,0,0,1,0
45,U-000066,2020-11-30,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Profesor,3 meses,No,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses,3,0,0,0,0,0,0,0,0,0,1,0
46,U-000067,2020-11-30,España,Cataluña,No estoy en ninguna de esas situaciones,Cocinero,1 año,No,No,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses,1,1,0,0,0,0,0,0,1,0,0,0
47,U-000068,2020-11-30,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Informático,3 meses,No,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses,3,1,0,0,0,0,0,0,0,0,1,0
48,U-000069,2020-12-01,España,Madrid,No estoy en ninguna de esas situaciones,Ingeniero,3 meses,Si,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,1 mes,7,0,1,0,0,0,0,0,0,0,1,0
49,U-000070,2020-12-01,España,Comunitat Valenciana,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Atención al cliente,3 meses,No,No,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses,2,0,0,0,0,0,0,0,1,0,0,0
50,U-000071,2020-12-01,España,Castilla y León,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Cocinero,3 meses,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses,1,1,0,0,0,0,0,0,0,1,0,0
51,U-000072,2020-12-01,España,Barcelona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Profesor,3 meses,Si,Si,Si,Hasta 600€,Primera residencia,Indiferente,3 meses,2,0,0,0,0,0,0,0,1,0,0,0
52,U-000073,2020-12-02,España,Madrid,No estoy en ninguna de esas situaciones,Ingeniero,3 meses,No,No,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,1 mes,2,0,1,0,0,0,0,0,0,0,1,0
53,U-000074,2020-12-02,España,Barcelona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Auxiliar,3 meses,No,No,No,Hasta 450€,Primera residencia,Pueblos de Soria,3 meses,5,0,0,0,0,0,0,0,1,0,0,0
54,U-000075,2020-12-02,España,Canarias,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Técnico,3 meses,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses,1,0,1,0,0,0,0,1,0,0,0,0
55,U-000076,2020-12-02,Latino América,Ninguna,No estoy en ninguna de esas situaciones,Cocinero,6 meses,No,Si,No,Hasta 300€,Primera residencia,Indiferente,1 mes,5,1,0,0,0,0,0,0,0,0,0,1
56,U-000077,2020-12-03,España,Castilla y León,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Panadero,3 meses,No,Si,No,Hasta 450€,Primera residencia,Pueblos de Zaragoza,1 mes,6,0,0,0,0,0,0,0,0,1,0,0
57,U-000078,2020-12-03,Latino América,Ninguna,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Geólogo,3 meses,No,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses,2,0,0,0,0,1,0,0,0,0,0,1
58,U-000079,2020-12-04,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Técnico,3 meses,Si,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses,3,0,1,0,0,0,0,0,0,0,1,0
59,U-000080,2020-12-04,España,Galicia,No estoy en ninguna de esas situaciones,Auxiliar,6 meses,Si,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,1 mes,3,0,0,0,0,0,1,0,0,0,0,0
60,U-000081,2020-12-04,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,3 meses,Si,Si,No,Hasta 600€,Primera residencia,Sierra norte de Madrid,Aún me lo estoy pensando,2,0,0,0,0,0,0,0,0,0,1,0
61,U-000082,2020-12-05,España,Andalucía,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Camarero,3 meses,No,No,No,Hasta 300€,Primera residencia,Indiferente,6 meses,1,1,0,0,0,0,0,1,0,0,0,0
62,U-000083,2020-12-05,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Conductor,3 meses,Si,Si,Si,Hasta 450€,Primera residencia,Indiferente,6 meses,5,1,0,0,0,0,0,0,0,0,1,0
63,U-000084,2020-12-05,España,Barcelona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Pastelero,1 año,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses,2,1,0,0,0,0,0,0,1,0,0,0
64,U-000085,2020-12-06,España,Vizcaya,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Trabajo de campo,Más de 1 año,Si,Si,Si,Hasta 300€,Primera residencia,Pueblos de Burgos,1 mes,1,0,0,0,0,1,1,0,0,0,0,0
65,U-000086,2020-12-06,España,Andalucía,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Peluquería,3 meses,No,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses,2,1,0,0,0,0,0,1,0,0,0,0
66,U-000087,2020-12-06,España,Sevilla,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Autónomo,3 meses,Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,6 meses,1,0,0,0,0,0,0,1,0,0,0,0
67,U-000088,2020-12-06,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Cocinero,3 meses,Si,Si,Si,Hasta 600€,Primera residencia,Sierra norte de Madrid,6 meses,1,1,0,0,0,0,0,0,0,0,1,0
68,U-000089,2020-12-06,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Camarero,6 meses,No,No,Si,Hasta 300€,Primera residencia,Indiferente,6 meses,2,1,0,0,0,0,0,0,0,0,1,0
69,U-000091,2020-12-07,España,Murcia,No estoy en ninguna de esas situaciones,Logística de transportes,3 meses,Si,Si,Si,Hasta 450€,Primera residencia,Indiferente,1 mes,4,0,1,0,0,0,0,0,1,0,0,0
70,U-000092,2020-12-07,España,Baleares,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Médico Especialista,1 año,Si,Si,Si,Hasta 450€,Primera residencia,Indiferente,6 meses,1,1,0,0,0,0,0,0,1,0,0,0
71,U-000093,2020-12-07,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Albañil,3 meses,No,No,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses,5,0,0,1,0,0,0,0,0,0,1,0
73,U-000095,2020-12-07,Latino América,Ninguna,No estoy en ninguna de esas situaciones,Ingeniero,6 meses,No,No,No,Hasta 450€,Primera residencia,Indiferente,Aún me lo estoy pensando,2,0,1,0,0,0,0,0,0,0,0,1
74,U-000098,2020-12-08,España,Cádiz,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Ingeniero,3 meses,Si,Si,No,Hasta 300€,Segunda residencia,Indiferente,6 meses,3,0,1,0,0,0,0,1,0,0,0,0
75,U-000099,2020-12-09,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Atención al cliente,6 meses,Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,1 mes,4,0,0,0,0,0,0,0,0,0,1,0
76,U-000100,2020-12-09,España,Castilla-La Mancha,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Carnicero,3 meses,No,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses,1,0,0,0,0,0,0,0,0,1,0,0
77,U-000101,2020-12-09,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Recepcionista,3 meses,Si,Si,No,Hasta 600€,Primera residencia,Sierra norte de Madrid,Aún me lo estoy pensando,1,1,0,0,0,0,0,0,0,0,1,0
78,U-000102,2020-12-10,España,Barcelona,No estoy en ninguna de esas situaciones,Periodista,1 año,No,No,Si,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses,4,0,0,0,0,0,0,0,1,0,0,0
79,U-000103,2020-12-10,Latino América,Ninguna,No estoy en ninguna de esas situaciones,Administrativo,6 meses,Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,6 meses,2,0,0,0,0,0,0,0,0,0,0,1
80,U-000104,2020-12-10,España,Andalucía,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,3 meses,Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,Aún me lo estoy pensando,4,0,0,0,0,0,0,1,0,0,0,0
81,U-000105,2020-12-10,España,Castilla-La Mancha,No estoy en ninguna de esas situaciones,Biólogo ambiental,6 meses,Si,Si,Si,Hasta 450€,Primera residencia,Indiferente,6 meses,1,0,0,0,0,0,0,0,0,1,0,0
82,U-000106,2020-12-11,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,3 meses,Si,Si,No,Hasta 300€,Segunda residencia,Sierra norte de Madrid,Aún me lo estoy pensando,2,0,0,0,0,0,0,0,0,0,1,0
83,U-000107,2020-12-11,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,6 meses,Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,1 mes,2,0,0,0,0,0,0,0,0,0,1,0
84,U-000108,2020-12-11,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Comercio internacional,Más de 1 año,Si,Si,No,Más de 600€,Primera residencia,Sierra norte de Madrid,6 meses,3,0,0,0,0,0,0,0,0,0,1,0
85,U-000109,2020-12-12,España,Cantabria,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Freelance digital,3 meses,Si,Si,Si,Hasta 450€,Primera residencia,Indiferente,1 mes,1,1,0,0,0,0,1,0,0,0,0,0
86,U-000110,2020-12-13,España,Castilla y León,No estoy en ninguna de esas situaciones,Limpieza,1 año,No,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,1 mes,2,0,0,0,0,0,0,0,0,1,0,0
87,U-000111,2020-12-13,Latino América,Ninguna,No estoy en ninguna de esas situaciones,Maestro de Educación Primaria,3 meses,No,No,No,Hasta 600€,Primera residencia,Sierra norte de Madrid,6 meses,5,1,0,0,0,0,0,0,0,0,0,1
88,U-000112,2020-12-13,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Marketing y publicidad,3 meses,Si,No,Si,Hasta 450€,Primera residencia,Indiferente,6 meses,1,1,0,0,0,0,0,0,0,0,1,0
89,U-000117,2020-12-14,España,Región de Murcia,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,3 meses,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,1 mes,6,0,0,0,0,0,0,0,1,0,0,0
90,U-000119,2020-12-15,Otro,Ninguna,No estoy en ninguna de esas situaciones,Profesor,3 meses,No,No,Si,Hasta 300€,Primera residencia,Indiferente,1 mes,1,0,0,0,0,0,0,0,0,0,0,1
91,U-000120,2020-12-15,España,Aragón,No estoy en ninguna de esas situaciones,Carnicero,3 meses,No,Si,No,Hasta 300€,Primera residencia,Pueblos de Zaragoza,6 meses,2,0,0,0,0,0,0,0,0,1,0,0
92,U-000122,2020-12-15,España,Castilla-La Mancha,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Autónomo,3 meses,Si,Si,Si,Hasta 300€,Primera residencia,Pueblos de Burgos,1 mes,3,0,0,0,0,0,0,0,0,1,0,0
93,U-000123,2020-12-16,España,Navarra,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Operario,3 meses,Si,Si,Si,Hasta 450€,Primera residencia,Indiferente,6 meses,1,0,0,1,0,0,1,0,0,0,0,0
94,U-000124,2020-12-17,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,3 meses,No,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses,3,0,0,0,0,0,0,0,0,0,1,0
95,U-000125,2020-12-17,Latino América,Ninguna,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Comercial,3 meses,Si,Si,Si,Hasta 600€,Primera residencia,Sierra norte de Madrid,3 meses,3,1,0,0,0,0,0,0,0,0,0,1
96,U-000126,2020-12-17,España,Barcelona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Ingeniero,Más de 1 año,Si,Si,Si,Hasta 450€,Primera residencia,Indiferente,1 mes,1,0,1,0,0,0,0,0,1,0,0,0
97,U-000127,2020-12-17,España,Comunitat Valenciana,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Jubilado,3 meses,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses,1,0,0,0,0,1,0,0,1,0,0,0
98,U-000128,2020-12-17,España,Valencia,No estoy en ninguna de esas situaciones,Atención al cliente,3 meses,No,No,No,Hasta 300€,Primera residencia,Pueblos de Soria,6 meses,5,0,0,0,0,0,0,0,1,0,0,0
99,U-000129,2020-12-17,Resto de Europa (dentro de UE),Ninguna,No estoy en ninguna de esas situaciones,Sanitario,3 meses,No,Si,No,Hasta 300€,Primera residencia,Indiferente,1 mes,1,0,0,0,0,0,0,0,0,0,0,1
100,U-000132,2020-12-19,España,Tarragona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Cocinero,Más de 1 año,Si,Si,Si,Hasta 450€,Primera residencia,Pueblos de Zaragoza,1 mes,1,1,0,0,0,0,0,0,1,0,0,0
101,U-000133,2020-12-19,Latino América,Ninguna,No estoy en ninguna de esas situaciones,Auxiliar,3 meses,No,Si,Si,Hasta 300€,Primera residencia,Indiferente,1 mes,2,0,0,0,0,0,0,0,0,0,0,1
102,U-000134,2020-12-21,España,Toledo,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Empleado del hogar,3 meses,No,Si,Si,Hasta 300€,Primera residencia,Indiferente,6 meses,2,1,0,0,0,0,0,0,0,1,0,0
103,U-000135,2020-12-21,España,Euskadi,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Dietista/ Nutricionista,Más de 1 año,Si,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,3 meses,3,1,0,0,0,0,1,0,0,0,0,0
104,U-000136,2020-12-22,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Camarero,3 meses,Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses,1,1,0,0,0,0,0,0,0,0,1,0
105,U-000137,2020-12-22,España,Baleares,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Hostelero,3 meses,Si,Si,No,Hasta 450€,Primera residencia,Indiferente,6 meses,2,1,0,0,0,0,0,0,1,0,0,0
106,U-000138,2020-12-23,España,Barcelona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Cocinero,3 meses,No,Si,No,Hasta 300€,Primera residencia,Pueblos de Soria,1 mes,5,1,0,0,0,0,0,0,1,0,0,0
107,U-000139,2020-12-23,España,Tarragona,No estoy en ninguna de esas situaciones,Informático,3 meses,No,No,No,Hasta 300€,Primera residencia,Pueblos de Zaragoza,1 mes,3,1,0,0,0,0,0,0,1,0,0,0
108,U-000140,2020-12-25,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Cocinero,6 meses,Si,Si,No,Hasta 600€,Primera residencia,Indiferente,3 meses,4,1,0,0,0,0,0,0,0,0,1,0
109,U-000142,2020-12-26,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,Más de 1 año,No,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses,1,0,0,0,0,0,0,0,0,0,1,0
110,U-000143,2020-12-26,España,Comunitat Valenciana,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Empresario,3 meses,Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,3 meses,4,1,0,0,0,0,0,0,1,0,0,0
111,U-000144,2020-12-26,España,Vizcaya,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Limpieza,3 meses,No,No,No,Hasta 300€,Primera residencia,Pueblos de Burgos,3 meses,4,0,0,0,0,0,1,0,0,0,0,0
113,U-000146,2020-12-26,España,Barcelona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Documentalista,3 meses,No,Si,No,Hasta 600€,Primera residencia,Indiferente,Aún me lo estoy pensando,6,1,0,0,0,0,0,0,1,0,0,0
114,U-000147,2020-12-27,España,Aragón,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Conductor,3 meses,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses,2,1,0,0,0,0,0,0,0,1,0,0
115,U-000148,2020-12-27,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Autónomo,Más de 1 año,No,Si,Si,Hasta 300€,Segunda residencia,Sierra norte de Madrid,1 mes,1,0,0,0,0,0,0,0,0,0,1,0
