,id,fecha,pais_de_residencia,provincia_de_espana,situacion_en_espana,profesion,autonomia_economica,coche_propio,carnet_coche,mascota,presupuesto_alquiler,primera_segunda_vivienda,zona_interes,predisposicion_pueblo,numero_familiares,sector_servicios,sector_industria,sector_construccion,sector_agricultura_ganaderia_pesca,sector_otros,prov_norte,prov_sur,prov_este,prov_centro,prov_madrid,prov_fuera_espana
8658,U-009392,2022-07-22,España,Barcelona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Conductor,3 meses,No,Si,No,Hasta 450€,Primera residencia,Indiferente,6 meses,3,1,0,0,0,0,0,0,1,0,0,0
8659,U-009393,2022-07-22,Latino América,Ninguna,No estoy en ninguna de esas situaciones,Recursos Humanos,1 año,No,Si,Si,Hasta 450€,Primera residencia,Indiferente,Aún me lo estoy pensando,5,1,0,0,0,0,0,0,0,0,0,1
8660,U-009394,2022-07-22,Latino América,Ninguna,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Abogado,1 año,No,Si,Si,Hasta 600€,Primera residencia,Pueblos de Burgos,3 meses,11,1,0,0,0,0,0,0,0,0,0,1
8661,U-009395,2022-07-22,España,Alicante,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,3 meses,Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Burgos,1 mes,1,0,0,0,0,0,0,0,1,0,0,0
8662,U-009396,2022-07-22,Latino América,Ninguna,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Autónomo,3 meses,No,No,Si,Hasta 300€,Primera residencia,Indiferente,6 meses,1,0,0,0,0,0,0,0,0,0,0,1
8663,U-009397,2022-07-22,España,Zaragoza,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Peón,3 meses,No,No,No,Hasta 300€,Primera residencia,Indiferente,1 mes,5,0,0,0,0,0,0,0,0,1,0,0
8664,U-009398,2022-07-23,Latino América,Ninguna,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Encargado,6 meses,No,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses,2,0,0,0,0,0,0,0,0,0,0,1
8665,U-009399,2022-07-23,España,Almería,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Atención al cliente,3 meses,No,No,No,Hasta 300€,Primera residencia,Indiferente,1 mes,5,0,0,0,0,0,0,1,0,0,0,0
8666,U-009400,2022-07-23,España,Barcelona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Maestro de Educación Primaria,6 meses,Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,Aún me lo estoy pensando,4,1,0,0,0,0,0,0,1,0,0,0
8667,U-009401,2022-07-23,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Dentista,3 meses,No,No,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,1 mes,3,1,0,0,0,0,0,0,0,0,1,0
8668,U-009402,2022-07-23,España,Murcia,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Mozo almacén,3 meses,No,No,Si,Hasta 300€,Primera residencia,Indiferente,1 mes,4,0,0,0,0,0,0,0,1,0,0,0
8669,U-009403,2022-07-23,Latino América,Ninguna,No estoy en ninguna de esas situaciones,Empresario,Más de 1 año,No,No,No,Más de 600€,Primera residencia,Sierra norte de Madrid,6 meses,5,1,0,0,0,0,0,0,0,0,0,1
8670,U-009404,2022-07-24,Latino América,Ninguna,No estoy en ninguna de esas situaciones,Otro,Más de 1 año,No,No,No,Hasta 300€,Primera residencia,"Indiferente, menos de 150km de Madrid",Aún me lo estoy pensando,4,0,0,0,0,0,0,0,0,0,0,1
8671,U-009405,2022-07-24,Latino América,Ninguna,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Informático,3 meses,No,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses,1,1,0,0,0,0,0,0,0,0,0,1
8672,U-009406,2022-07-24,España,Baleares,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Atención al cliente,3 meses,No,Si,No,Hasta 300€,Primera residencia,"Indiferente, menos de 150km de Madrid",1 mes,6,0,0,0,0,0,0,0,1,0,0,0
8673,U-009407,2022-07-24,España,Cuenca,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Jubilado,3 meses,Si,Si,No,Hasta 450€,Primera residencia,Pueblos de Cuenca,1 mes,1,0,0,0,0,1,0,0,0,1,0,0
8674,U-009408,2022-07-24,Latino América,Ninguna,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Profesor,6 meses,Si,Si,No,Hasta 450€,Primera residencia,Indiferente,Aún me lo estoy pensando,4,0,0,0,0,0,0,0,0,0,0,1
8675,U-009409,2022-07-24,España,Barcelona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Limpieza,3 meses,No,No,Si,Hasta 300€,Primera residencia,Indiferente,6 meses,1,0,0,0,0,0,0,0,1,0,0,0
8676,U-009410,2022-07-24,España,Madrid,No estoy en ninguna de esas situaciones,Otro,3 meses,No,Si,Si,Más de 600€,Primera residencia,Indiferente,Aún me lo estoy pensando,3,0,0,0,0,0,0,0,0,0,1,0
8677,U-009411,2022-07-24,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Técnico,Más de 1 año,No,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,Aún me lo estoy pensando,1,0,1,0,0,0,0,0,0,0,1,0
8678,U-009412,2022-07-24,Otro,Ninguna,No estoy en ninguna de esas situaciones,Trabajo de campo,3 meses,No,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses,6,0,0,0,0,1,0,0,0,0,0,1
8679,U-009413,2022-07-24,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Dependiente,1 año,Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,3 meses,3,1,0,0,0,0,0,0,0,0,1,0
8680,U-009414,2022-07-24,España,Valladolid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Operario,3 meses,Si,Si,Si,Hasta 300€,Primera residencia,Pueblos de Palencia,Aún me lo estoy pensando,2,0,0,1,0,0,0,0,0,1,0,0
8681,U-009415,2022-07-24,Latino América,Ninguna,No estoy en ninguna de esas situaciones,Maestro,3 meses,Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,3 meses,4,1,0,0,0,0,0,0,0,0,0,1
8682,U-009416,2022-07-25,Latino América,Ninguna,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Mecánico,3 meses,No,Si,No,Hasta 300€,Primera residencia,Pueblos de Zaragoza,Aún me lo estoy pensando,4,0,1,0,0,0,0,0,0,0,0,1
8683,U-009417,2022-07-25,España,Cádiz,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Camarero,3 meses,Si,Si,Si,Hasta 300€,Primera residencia,"Indiferente, menos de 150km de Madrid",Aún me lo estoy pensando,4,1,0,0,0,0,0,1,0,0,0,0
8684,U-009418,2022-07-25,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Celador,6 meses,Si,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses,6,1,0,0,0,0,0,0,0,0,1,0
8685,U-009419,2022-07-25,Latino América,Ninguna,No estoy en ninguna de esas situaciones,Conductor,6 meses,No,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses,4,1,0,0,0,0,0,0,0,0,0,1
8686,U-009420,2022-07-25,España,Madrid,No estoy en ninguna de esas situaciones,Empresario,3 meses,No,No,No,Hasta 450€,Primera residencia,Indiferente,Aún me lo estoy pensando,3,1,0,0,0,0,0,0,0,0,1,0
8687,U-009421,2022-07-25,Latino América,Ninguna,No estoy en ninguna de esas situaciones,Atención al cliente,3 meses,Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Burgos,6 meses,4,0,0,0,0,0,0,0,0,0,0,1
8688,U-009422,2022-07-25,Latino América,Ninguna,No estoy en ninguna de esas situaciones,Asesor,3 meses,Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Burgos,6 meses,4,1,0,0,0,0,0,0,0,0,0,1
8689,U-009423,2022-07-25,España,Madrid,No estoy en ninguna de esas situaciones,Empleado del hogar,3 meses,Si,Si,No,Hasta 300€,Segunda residencia,Sierra norte de Madrid,1 mes,2,1,0,0,0,0,0,0,0,0,1,0
