iter	Passed	Remaining
415	2549	3579
416	2554	3571
417	2559	3563
418	2564	3555
419	2568	3546
420	2573	3538
421	2578	3531
422	2582	3523
423	2588	3516
424	2593	3508
425	2598	3501
426	2603	3493
427	2609	3486
428	2614	3479
429	2619	3471
430	2623	3463
431	2628	3455
432	2633	3448
433	2638	3440
434	2642	3432
435	2647	3424
436	2652	3416
437	2656	3408
438	2661	3400
439	2665	3392
440	2671	3385
441	2676	3378
442	2681	3371
443	2687	3365
444	2692	3358
445	2697	3350
446	2701	3341
447	2704	3332
448	2708	3323
449	2712	3315
450	2717	3308
451	2722	3300
452	2726	3292
453	2731	3285
454	2736	3277
455	2741	3271
456	2747	3263
457	2752	3256
458	2757	3249
459	2761	3242
460	2766	3234
461	2771	3227
462	2776	3220
463	2781	3213
464	2786	3205
465	2790	3198
466	2795	3190
467	2800	3183
468	2805	3176
469	2810	3169
470	2815	3162
471	2820	3154
472	2824	3147
473	2829	3140
474	2834	3133
475	2839	3125
476	2844	3118
477	2849	3111
478	2854	3104
479	2859	3097
480	2863	3090
481	2867	3081
482	2872	3074
483	2877	3067
484	2881	3060
485	2887	3053
486	2892	3046
487	2896	3039
488	2902	3032
489	2907	3025
490	2912	3018
491	2916	3011
492	2921	3004
493	2926	2997
494	2930	2989
495	2935	2982
496	2940	2975
497	2944	2968
498	2949	2961
499	2954	2954
500	2959	2947
501	2964	2940
502	2969	2933
503	2974	2926
504	2978	2919
505	2982	2912
506	2987	2904
507	2991	2897
508	2996	2890
509	3001	2883
510	3004	2875
511	3009	2868
512	3013	2860
513	3017	2853
514	3022	2846
515	3026	2839
516	3031	2832
517	3036	2825
518	3041	2818
519	3046	2812
520	3050	2805
521	3054	2797
522	3059	2789
523	3062	2782
524	3067	2775
525	3071	2767
526	3076	2760
527	3081	2754
528	3086	2748
529	3090	2740
530	3094	2733
531	3099	2726
532	3103	2719
533	3108	2712
534	3112	2705
535	3117	2698
536	3121	2691
537	3126	2684
538	3130	2677
539	3134	2670
540	3138	2663
541	3143	2656
542	3147	2649
543	3152	2642
544	3157	2636
545	3162	2629
546	3166	2622
547	3171	2615
548	3175	2608
549	3180	2602
550	3184	2595
551	3189	2588
552	3194	2582
553	3199	2575
554	3203	2568
555	3208	2561
556	3213	2555
557	3219	2549
558	3224	2543
559	3228	2536
560	3232	2529
561	3237	2522
562	3241	2516
563	3246	2509
564	3251	2503
565	3255	2496
566	3259	2489
567	3263	2482
568	3268	2475
569	3273	2469
570	3278	2463
571	3283	2456
572	3288	2450
573	3292	2443
574	3297	2437
575	3301	2430
